scenario,take_uid,tracked_object,camera,total_displacement
basketball,058f9a7e-d7e8-415e-9827-272245422543,basketball,aria01_214-1,19057.56
basketball,058f9a7e-d7e8-415e-9827-272245422543,basketball,cam01,29454.59
basketball,058f9a7e-d7e8-415e-9827-272245422543,hoop,aria01_214-1,6403.5
basketball,058f9a7e-d7e8-415e-9827-272245422543,hoop,cam01,411.23
basketball,1789c39f-b302-48b4-9fa5-8716cfbfd43f,basketball,aria01_214-1,11713.75
basketball,1789c39f-b302-48b4-9fa5-8716cfbfd43f,basketball,cam01,19681.4
basketball,215844c3-63d3-4c8c-86f7-aeff2cf79764,basketball,aria01_214-1,19792.12
basketball,215844c3-63d3-4c8c-86f7-aeff2cf79764,basketball,cam04,42546.63
basketball,2f86293e-823d-4e2d-8c54-2f888e2639ed,basketball,aria01_214-1,10106.98
basketball,2f86293e-823d-4e2d-8c54-2f888e2639ed,basketball,cam03,6420.73
basketball,691b6dff-620e-4aab-8302-3a9045be33da,basketball,aria01_214-1,11290.03
basketball,691b6dff-620e-4aab-8302-3a9045be33da,basketball,cam01,24592.99
basketball,691b6dff-620e-4aab-8302-3a9045be33da,hoop,aria01_214-1,13510.1
basketball,691b6dff-620e-4aab-8302-3a9045be33da,hoop,cam01,72.32
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,basketball,aria01_214-1,40302.05
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,basketball,cam01,61139.27
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,hoop,aria01_214-1,14288.43
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,hoop,cam04,201.79
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,basketball,aria01_214-1,4713.29
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,basketball,cam03,8575.9
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,hoop,aria01_214-1,4004.62
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,hoop,cam03,92.74
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,basketball,aria01_214-1,7974.61
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,basketball,cam03,7272.13
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,hoop,aria01_214-1,3629.75
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,hoop,cam03,142.6
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,basketball,aria01_214-1,7641.91
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,basketball,cam04,15024.61
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,hoop,aria01_214-1,4856.12
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,hoop,cam04,49.05
basketball,fcb6b025-6e41-4e97-b4b5-d5fdf0ebd3cb,basketball,aria01_214-1,17768.53
basketball,fcb6b025-6e41-4e97-b4b5-d5fdf0ebd3cb,basketball,cam03,32892.84
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Basket_0,aria07_214-1,8471.77
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Basket_0,cam04,2674.41
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Bicycle wheel_0,aria07_214-1,6286.34
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Bicycle wheel_0,cam04,5472.58
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Brake cable_1,aria07_214-1,8826.14
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Fork_0,aria07_214-1,4568.34
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Fork_0,cam04,2169.01
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Handlebar_0,aria07_214-1,6764.1
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Handlebar_0,cam04,1813.9
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Wrench_0,aria07_214-1,2579.23
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Wrench_0,cam04,6026.56
