scenario,take_uid,tracked_object,camera,total_area_change,average_area
basketball,058f9a7e-d7e8-415e-9827-272245422543,basketball,aria01_214-1,1275013.0,32685.31
basketball,058f9a7e-d7e8-415e-9827-272245422543,basketball,cam01,543956.0,17098.93
basketball,058f9a7e-d7e8-415e-9827-272245422543,hoop,aria01_214-1,2272232.0,56827.06
basketball,058f9a7e-d7e8-415e-9827-272245422543,hoop,cam01,161890.0,47879.93
basketball,1789c39f-b302-48b4-9fa5-8716cfbfd43f,basketball,aria01_214-1,2250379.0,75893.57
basketball,1789c39f-b302-48b4-9fa5-8716cfbfd43f,basketball,cam01,108519.0,7497.57
basketball,215844c3-63d3-4c8c-86f7-aeff2cf79764,basketball,aria01_214-1,1028404.0,24674.14
basketball,215844c3-63d3-4c8c-86f7-aeff2cf79764,basketball,cam04,403635.0,10109.42
basketball,2f86293e-823d-4e2d-8c54-2f888e2639ed,basketball,aria01_214-1,1278607.0,53483.16
basketball,2f86293e-823d-4e2d-8c54-2f888e2639ed,basketball,cam03,23861.0,2385.65
basketball,691b6dff-620e-4aab-8302-3a9045be33da,basketball,aria01_214-1,2900869.0,46775.79
basketball,691b6dff-620e-4aab-8302-3a9045be33da,basketball,cam01,179761.0,6026.74
basketball,691b6dff-620e-4aab-8302-3a9045be33da,hoop,aria01_214-1,80695.0,7223.72
basketball,691b6dff-620e-4aab-8302-3a9045be33da,hoop,cam01,12098.0,14503.28
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,basketball,aria01_214-1,2684736.0,43297.43
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,basketball,cam01,751857.0,17474.98
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,hoop,aria01_214-1,1867375.0,39280.25
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,hoop,cam04,58695.0,48436.83
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,basketball,aria01_214-1,735216.0,41804.86
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,basketball,cam03,52826.0,6690.14
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,hoop,aria01_214-1,412335.0,71241.0
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,hoop,cam03,46407.0,36315.86
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,basketball,aria01_214-1,531083.0,34127.44
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,basketball,cam03,37743.0,7287.6
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,hoop,aria01_214-1,235387.0,59694.71
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,hoop,cam03,39519.0,34980.75
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,basketball,aria01_214-1,439668.0,24477.47
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,basketball,cam04,48402.0,4885.77
