scenario,take_uid,n_pairs
basketball,058f9a7e-d7e8-415e-9827-272245422543,75
basketball,1789c39f-b302-48b4-9fa5-8716cfbfd43f,23
basketball,215844c3-63d3-4c8c-86f7-aeff2cf79764,42
basketball,2f86293e-823d-4e2d-8c54-2f888e2639ed,19
basketball,691b6dff-620e-4aab-8302-3a9045be33da,81
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,127
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,32
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,33
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,42
basketball,fcb6b025-6e41-4e97-b4b5-d5fdf0ebd3cb,45
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,146
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,217
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,157
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,202
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,245
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,154
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,85
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,492
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,113
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,240
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,1376
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,1848
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,1333
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,1540
cooking,75cc6a20-2451-4922-844b-3e376e095657,697
cooking,8acb2112-465c-4088-b502-65fd9704dd77,5063
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,129
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,1164
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,201
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,1291
health,04d87074-8116-4f09-b6e5-10670c9e772d,66
health,0827f0fc-4f33-4a6e-b7b3-89165585d79f,93
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,720
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,497
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,2293
health,77b1cae6-7e57-47f9-83ae-c68243792d36,92
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,2184
health,c4c0e97d-135b-4dec-b736-e184442bd42e,682
health,dc1600e9-dd79-4700-882a-9f53cdd29d20,92
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,1169
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,320
music,2f6dc326-3689-4190-a8f8-674a5e6d688b,39
music,2fe390a8-1506-4420-9008-74199f92797b,481
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,357
music,989b038e-d46c-4433-b968-87b58a4c7037,71
music,b0844d48-90da-4073-9e03-fb8aef700f40,807
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,793
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,743
music,d2218738-2af2-4585-bd1c-af8ad10d7827,536
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,424
