scenario,take_uid,tracked_object,camera,n_annotated_frames,frame_span,temporal_density
basketball,058f9a7e-d7e8-415e-9827-272245422543,basketball,aria01_214-1,68,2010,1.0
basketball,058f9a7e-d7e8-415e-9827-272245422543,basketball,cam01,68,2010,1.0
basketball,058f9a7e-d7e8-415e-9827-272245422543,hoop,aria01_214-1,68,2010,1.0
basketball,058f9a7e-d7e8-415e-9827-272245422543,hoop,cam01,68,2010,1.0
basketball,1789c39f-b302-48b4-9fa5-8716cfbfd43f,basketball,aria01_214-1,38,1110,1.0
basketball,1789c39f-b302-48b4-9fa5-8716cfbfd43f,basketball,cam01,38,1110,1.0
basketball,215844c3-63d3-4c8c-86f7-aeff2cf79764,basketball,aria01_214-1,101,3000,1.0
basketball,215844c3-63d3-4c8c-86f7-aeff2cf79764,basketball,cam04,101,3000,1.0
basketball,2f86293e-823d-4e2d-8c54-2f888e2639ed,basketball,aria01_214-1,34,990,1.0
basketball,2f86293e-823d-4e2d-8c54-2f888e2639ed,basketball,cam03,34,990,1.0
basketball,691b6dff-620e-4aab-8302-3a9045be33da,basketball,aria01_214-1,47,1380,1.0
basketball,691b6dff-620e-4aab-8302-3a9045be33da,basketball,cam01,47,1380,1.0
basketball,691b6dff-620e-4aab-8302-3a9045be33da,hoop,aria01_214-1,47,1380,1.0
basketball,691b6dff-620e-4aab-8302-3a9045be33da,hoop,cam01,47,1380,1.0
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,basketball,aria01_214-1,92,2730,1.0
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,basketball,cam01,92,2730,1.0
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,hoop,aria01_214-1,92,2730,1.0
basketball,83b0fc4f-9a36-4dd7-9495-a68c9f82defe,hoop,cam04,92,2730,1.0
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,basketball,aria01_214-1,21,600,1.0
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,basketball,cam03,21,600,1.0
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,hoop,aria01_214-1,21,600,1.0
basketball,98895ed3-7fc5-4dc0-ae9b-d808971e9334,hoop,cam03,21,600,1.0
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,basketball,aria01_214-1,20,570,1.0
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,basketball,cam03,20,570,1.0
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,hoop,aria01_214-1,20,570,1.0
basketball,ef2cad65-06b2-4b1a-8956-c387721d2051,hoop,cam03,20,570,1.0
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,basketball,aria01_214-1,30,870,1.0
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,basketball,cam04,30,870,1.0
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,hoop,aria01_214-1,30,870,1.0
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,hoop,cam04,30,870,1.0
basketball,fcb6b025-6e41-4e97-b4b5-d5fdf0ebd3cb,basketball,aria01_214-1,59,1740,1.0
basketball,fcb6b025-6e41-4e97-b4b5-d5fdf0ebd3cb,basketball,cam03,59,1740,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Basket_0,aria07_214-1,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Basket_0,cam04,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Bicycle wheel_0,aria07_214-1,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Bicycle wheel_0,cam04,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Brake cable_1,aria07_214-1,42,1230,1.0
